original_name,renamed_to
1.xlsx,1.xlsx
2.pdb,2.pdb
3.jsonld,3.jsonld
4.png,4.png
5.docx,5.docx
6.xlsx,6.xlsx
7.zip,7.zip
8.mp3,8.mp3
9.zip,9.zip
10.xlsx,10.xlsx
11.png,11.png
12.pdf,12.pdf
13.png,13.png
14.png,14.png
15.pdf,15.pdf
16.xlsx,16.xlsx
17.txt,17.txt
18.xlsx,18.xlsx
19.pptx,19.pptx
20.csv,20.csv
21.xlsx,21.xlsx
22.png,22.png
23.xlsx,23.xlsx
24.xlsx,24.xlsx
25.png,25.png
26.mp3,26.mp3
27.png,27.png
28.png,28.png
29.pdf,29.pdf
30.xlsx,30.xlsx
31.py,31.py
32.xlsx,32.xlsx
33.jpg,33.jpg
34.xlsx,34.xlsx
35.xlsx,35.xlsx
36.mp3,36.mp3
37.jpg,37.jpg
38.xlsx,38.xlsx
